Year,Champion_Country,Champion,Runner_up_Country,Runner-up,Score_in_final
1969,AUS,Rod Laver,ESP,Andrés Gimeno,"6–3, 6–4, 7–5"
1970,USA,Arthur Ashe,AUS,Dick Crealy,"6–4, 9–7, 6–2"
1971,AUS,Ken Rosewall,USA,Arthur Ashe,"6–1, 7–5, 6–3"
1972,AUS,Ken Rosewall,AUS,Mal Anderson,"7–6(7–2), 6–3, 7–5"
1973,AUS,John Newcombe,NZL,Onny Parun,"6–3, 6–7, 7–5, 6–1"
1974,USA,Jimmy Connors,AUS,Phil Dent,"7–6(9–7), 6–4, 4–6, 6–3"
1975,AUS,John Newcombe,USA,Jimmy Connors,"7–5, 3–6, 6–4, 7–6(9–7)"
1976,AUS,Mark Edmondson,AUS,John Newcombe,"6–7, 6–3, 7–6, 6–1"
1977,USA,Roscoe Tanner,ARG,Guillermo Vilas,"6–3, 6–3, 6–3"
1977,USA,Vitas Gerulaitis,GBR,John Lloyd,"6–3, 7–6(7–4), 5–7, 3–6, 6–2"
1978,ARG,Guillermo Vilas,AUS,John Marks,"6–4, 6–4, 3–6, 6–3"
1979,ARG,Guillermo Vilas,USA,John Sadri,"7–6(7–4), 6–3, 6–2"
1980,USA,Brian Teacher,AUS,Kim Warwick,"7–5, 7–6(7–4), 6–3"
1981,RSA,Johan Kriek,USA,Steve Denton,"6–2, 7–6(7–1), 6–7(1–7), 6–4"
1982,USA,Johan Kriek,USA,Steve Denton,"6–3, 6–3, 6–2"
1983,SWE,Mats Wilander,TCH,Ivan Lendl,"6–1, 6–4, 6–4"
1984,SWE,Mats Wilander,RSA,Kevin Curren,"6–7(5–7), 6–4, 7–6(7–3), 6–2"
1985,SWE,Stefan Edberg,SWE,Mats Wilander,"6–4, 6–3, 6–3"
1987,SWE,Stefan Edberg,AUS,Pat Cash,"6–3, 6–4, 3–6, 5–7, 6–3"
1988,SWE,Mats Wilander,AUS,Pat Cash,"6–3, 6–7(3–7), 3–6, 6–1, 8–6"
1989,TCH,Ivan Lendl,TCH,Miloslav Mečíř,"6–2, 6–2, 6–2"
1990,TCH,Ivan Lendl,SWE,Stefan Edberg,"4–6, 7–6(7–3), 5–2retired"
1991,GER,Boris Becker,TCH,Ivan Lendl,"1–6, 6–4, 6–4, 6–4"
1992,USA,Jim Courier,SWE,Stefan Edberg,"6–3, 3–6, 6–4, 6–2"
1993,USA,Jim Courier,SWE,Stefan Edberg,"6–2, 6–1, 2–6, 7–5"
1994,USA,Pete Sampras,USA,Todd Martin,"7–6(7–4), 6–4, 6–4"
1995,USA,Andre Agassi,USA,Pete Sampras,"4–6, 6–1, 7–6(8–6), 6–4"
1996,GER,Boris Becker,USA,Michael Chang,"6–2, 6–4, 2–6, 6–2"
1997,USA,Pete Sampras,ESP,Carlos Moyá,"6–2, 6–3, 6–3"
1998,CZE,Petr Korda,CHI,Marcelo Ríos,"6–2, 6–2, 6–2"
1999,RUS,Yevgeny Kafelnikov,SWE,Thomas Enqvist,"4–6, 6–0, 6–3, 7–6(7–1)"
2000,USA,Andre Agassi,RUS,Yevgeny Kafelnikov,"3–6, 6–3, 6–2, 6–4"
2001,USA,Andre Agassi,FRA,Arnaud Clément,"6–4, 6–2, 6–2"
2002,SWE,Thomas Johansson,RUS,Marat Safin,"3–6, 6–4, 6–4, 7–6(7–4)"
2003,USA,Andre Agassi,GER,Rainer Schüttler,"6–2, 6–2, 6–1"
2004,SUI,Roger Federer,RUS,Marat Safin,"7–6(7–3), 6–4, 6–2"
2005,RUS,Marat Safin,AUS,Lleyton Hewitt,"1–6, 6–3, 6–4, 6–4"
2006,SUI,Roger Federer,CYP,Marcos Baghdatis,"5–7, 7–5, 6–0, 6–2"
2007,SUI,Roger Federer,CHI,Fernando González,"7–6(7–2), 6–4, 6–4"
2008,SRB,Novak Djokovic,FRA,Jo-Wilfried Tsonga,"4–6, 6–4, 6–3, 7–6(7–2)"
2009,ESP,Rafael Nadal,SUI,Roger Federer,"7–5, 3–6, 7–6(7–3), 3–6, 6–2"
2010,SUI,Roger Federer,GBR,Andy Murray,"6–3, 6–4, 7–6(13–11)"
2011,SRB,Novak Djokovic,GBR,Andy Murray,"6–4, 6–2, 6–3"
2012,SRB,Novak Djokovic,ESP,Rafael Nadal,"5–7, 6–4, 6–2, 6–7(5–7), 7–5"
2013,SRB,Novak Djokovic,GBR,Andy Murray,"6–7(2–7), 7–6(7–3), 6–3, 6–2"
2014,SUI,Stan Wawrinka,ESP,Rafael Nadal,"6–3, 6–2, 3–6, 6–3"
2015,SRB,Novak Djokovic,GBR,Andy Murray,"7–6(7–5), 6–7(4–7), 6–3, 6–0"
2016,SRB,Novak Djokovic,GBR,Andy Murray,"6–1, 7–5, 7–6(7–3)"
2017,SUI,Roger Federer,ESP,Rafael Nadal,"6–4, 3–6, 6–1, 3–6, 6–3"
2018,SUI,Roger Federer,CRO,Marin Čilić,"6–2, 6–7(5–7), 6–3, 3–6, 6–1"
2019,SRB,Novak Djokovic,ESP,Rafael Nadal,"6–3, 6–2, 6–3"
2020,SRB,Novak Djokovic,AUT,Dominic Thiem,"6–4, 4–6, 2–6, 6–3, 6–4"
2021,SRB,Novak Djokovic,RUS,Daniil Medvedev,"7–5, 6–2, 6–2"
2022,ESP,Rafael Nadal,RUS,Daniil Medvedev,"2–6, 6–7(5–7), 6–4, 6–4, 7–5"
2023,SRB,Novak Djokovic,GRE,Stefanos Tsitsipas,"6–3, 7–6(7–4), 7–6(7–5)"
2024,ITA,Jannik Sinner,RUS,Daniil Medvedev,"3–6, 3–6, 6–4, 6–4, 6–3"
2025,ITA,Jannik Sinner,GER,Alexander Zverev,"6–3, 7–6(7–4), 6–3"
